,서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,바로가기URL,장소X좌표,장소Y좌표,서비스개시시작일시,서비스개시종료일시,접수시작일시,접수종료일시,지역명,이미지경로,전화번호,서비스이용 시작시간,서비스이용 종료시간,취소기간 기준정보,취소기간 기준일까지,종료일자,종료시간
13,자체,S250324132054022350,문화체험,공원탐방,접수중,(토) 용산가족공원 숲티어링,무료,용산가족공원,초등학생(초등학생이상 보호자동반),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324132054022350,126.9836425,37.52194622,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-25 14:00:00,2025-04-23 9:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742790496757AY7GC0SZG5EF5G3GW6U4BU2QR,02-3783-5997,10:00,15:30,이용일,3,20250426,0:00:00
14,자체,S250320144932283057,문화체험,교육체험,예약마감,"[월드컵공원] 꿈나무정원사 (평일 유아, 4월, 식물이 쑥쑥 크려면)",무료,서울특별시 산악문화체험센터>노을여가센터,유아,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320144932283057,126.8800723,37.56968625,2025-04-02 0:00:00,20250423 00:00:00.0,2025-03-25 10:00:00,2025-04-22 17:00:00,마포구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427962184253B94J26LY5230LPC0AT1ORSW6,02-300-5574,10:30,12:00,이용일,1,20250423,0:00:00
15,자체,S250323184236065066,문화체험,문화행사,예약마감,(야간_4월)쉼이 있는 한양도성-충신성곽마을,무료,영롱이 억새구장>흥인지문 공원 앞,성인(성인만 참여가능),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250323184236065066,127.00862,37.57293,2025-04-30 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-28 17:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742723000639GUOYVMK6GEV9J7BP40235Y0JD,02-2133-2657,19:00,21:00,이용일,1,20250430,0:00:00
16,자체,S250304170621393059,문화체험,산림여가,접수중,"〔산림치유〕서울대공원 치유의 숲, 2025 하늘빛 마중숲(개인용)",무료,서울대공원>서울대공원 치유의 숲,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304170621393059,127.0255367,37.43553421,2025-03-04 0:00:00,20251130 00:00:00.0,2025-03-05 0:00:00,2025-11-28 0:00:00,과천시,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742716007840Y3TPRCMAITQVSKK2WUYWJ1MLT,02-500-7577~7578,10:00,16:00,이용일,2,20251130,0:00:00
17,자체,S250304180833587484,문화체험,산림여가,접수중,"〔산림치유〕서울대공원 치유의 숲, 2025 힐링숲(단체용)",무료,서울대공원>서울대공원 치유의 숲,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304180833587484,127.0255367,37.43553421,2025-03-04 0:00:00,20251130 00:00:00.0,2025-03-04 0:00:00,2025-11-30 0:00:00,과천시,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742715852187BW3ZEK506LJWBXFYPP3STG0L6,02-500-7577,10:00,16:00,이용일,2,20251130,0:00:00
18,자체,S250304184423344837,문화체험,산림여가,접수중,"〔산림치유〕서울대공원 치유의 숲, 2025 행복숲(사회적 배려 계층 단체)",무료,서울대공원>서울대공원 치유의 숲,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304184423344837,127.0255367,37.43553421,2025-03-04 0:00:00,20251130 00:00:00.0,2025-03-04 0:00:00,2025-11-30 0:00:00,과천시,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427157563137XOOMW8Q4V6BHO6ERB2H1XBUH,02-500-7577,10:00,16:00,이용일,2,20251130,0:00:00
19,자체,S250306111114018443,문화체험,산림여가,접수중,"[산림치유] 서울대공원 산림치유센터, 2025 여유드림(개인용)",무료,서울대공원>서울대공원 산림치유센터,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250306111114018443,127.0158636,37.43509838,2025-03-05 0:00:00,20251128 00:00:00.0,2025-03-06 0:00:00,2025-11-28 0:00:00,과천시,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742715813169BG1EOZ865UCHJYPYFW686RBX7,02-500-7577,9:30,14:30,이용일,2,20251128,0:00:00
20,자체,S250320155127358820,문화체험,문화행사,접수중,[보라매공원] 건강100세 프로젝트 **현장접수**,무료,보라매공원 관리사무소.,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320155127358820,126.91946,37.49488,2025-04-01 0:00:00,20251030 00:00:00.0,2025-04-01 15:00:00,2025-10-30 13:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742453960807BBAQJD8K63JEA9CBZT91EYOFV,"02-2181-1177, 02-300-5574 ",15:00,16:00,이용일,1,20251030,0:00:00
21,자체,S250320160803883681,문화체험,문화행사,접수중,[보라매공원] 두근두근 놀이마당 **현장접수**,무료,보라매공원 관리사무소.,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320160803883681,126.91946,37.49488,2025-04-12 0:00:00,20251011 00:00:00.0,2025-03-25 15:00:00,2025-10-11 15:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742454709454BGNOQWS3A10I50W54RSXCSVYU,"02-2181-1177, 02-300-5574 ",15:00,17:00,이용일,1,20251011,0:00:00
22,자체,S250324141247586917,문화체험,교육체험,예약마감,[보라매공원] 보라매 가족나들이(토) (4월),무료,보라매공원 관리사무소.>보라매공원 관리사무소,가족,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324141247586917,126.91946,37.49488,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-25 10:00:00,2025-04-25 17:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174279403378109A9DTWPHSPG7SVX38WP9GE18,02-2181-1177,10:00,15:30,이용일,1,20250426,0:00:00
23,자체,S220426092440232101,문화체험,전시/관람,접수중,서울역사박물관(본관) 단체관람,무료,서울역사박물관,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220426092440232101,126.97038,37.57052,2022-04-26 0:00:00,20250531 00:00:00.0,2022-04-26 10:00:00,2025-05-31 18:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1662105661028L1YDKT6O40X8PT274AIDEATHE,02-724-0274,9:00,18:00,이용일,1,20250531,0:00:00
24,자체,S250324150715713065,문화체험,교육체험,접수중,[보라매공원] 보라매 컬러가든투어(금) (4월),무료,보라매공원 관리사무소.>보라매공원 관리사무소,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324150715713065,126.91946,37.49488,2025-04-04 0:00:00,20250425 00:00:00.0,2025-03-25 10:00:00,2025-04-24 17:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427973365030M331GQENMM6KKUXIVB6G9TWD," 02-2181-1177, 02-300-5574",10:00,15:00,이용일,1,20250425,0:00:00
25,자체,S250324152838729163,문화체험,교육체험,접수중,[보라매공원] 유쾌한 숲으로의 초대 (개인신청) (목) (4월),무료,보라매공원 관리사무소.>보라매공원 관리사무소,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324152838729163,126.91946,37.49488,2025-04-10 0:00:00,20250424 00:00:00.0,2025-03-25 10:00:00,2025-04-23 17:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427986172116HFXBI1BNNIVIQEDSNDH28KI4," 02-2181-1177, 02-300-5574",10:00,15:30,이용일,1,20250424,0:00:00
26,자체,S250324160954413905,문화체험,교육체험,접수중,[보라매공원] 유쾌한 숲으로의 초대 - (단체신청) (목) (4월),무료,보라매공원 관리사무소.>보라매공원 관리사무소,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324160954413905,126.91946,37.49488,2025-04-03 0:00:00,20250417 00:00:00.0,2025-03-25 10:00:00,2025-04-16 17:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742800251786I3LDVIQFN2U4RO4HPJ3SDDG9J," 02-2181-1177, 02-300-5574",10:00,15:30,이용일,1,20250417,0:00:00
27,자체,S250324162536452829,문화체험,교육체험,접수중,[보라매공원] 어린이 공원 늘봄(화) (4월),무료,보라매공원 관리사무소.>보라매공원 관리사무소,어린이,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324162536452829,126.91946,37.49488,2025-04-01 0:00:00,20250429 00:00:00.0,2025-03-25 10:00:00,2025-04-28 17:00:00,동작구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742802464463R1AJML744ZC9L0TFJ2ZCVX809," 02-2181-1177, 02-300-5574",14:00,15:30,이용일,1,20250429,0:00:00
28,자체,S250324131325535484,문화체험,공원탐방,예약마감,(일)노래로 배우는 사자소학,무료,서울시 중부공원여가센터>호현당,가족(7세이상 어린이 동반 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324131325535484,126.9804211,37.55517462,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-25 14:00:00,2025-04-24 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742789946097FDD08XG5Q8LCXFNHYION7Y10E,02-3783-5997,14:00,15:30,이용일,4,20250427,0:00:00
31,자체,S250327113604350751,문화체험,농장체험,예약마감,"(토) 어린이대공원 4/5, 4/12, 4/19, 4/26 <4월 어린이 봄텃밭 체험교실>",유료,서울어린이대공원>어린이대공원 후문 텃밭," 어린이(6-13세 어린이, 보호자)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250327113604350751,127.085052,37.551307,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-28 10:00:00,2025-04-25 17:00:00,광진구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743043238567PGDW9H36IEEG04UHPGME3FIBW,02-450-9338,14:00,15:30,이용일,1,20250426,0:00:00
32,자체,S250320101939631997,문화체험,공원탐방,예약마감,(정원문화 특별) 잡학다식 식집사,무료,서울시 중부공원여가센터,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320101939631997,126.99224,37.55566,2025-04-02 0:00:00,20250423 00:00:00.0,2025-03-20 14:00:00,2025-04-21 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742433693225W9WEFQJGD1QKNCGYP9VT2979Y,02-3783-5995,19:00,20:30,이용일,2,20250423,0:00:00
33,자체,S250319142914371632,문화체험,공원탐방,접수중,(토)남산숲 자연놀이,무료,서울시 중부공원여가센터>공원이용지원센터,가족(초등학생이상 동반가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319142914371632,126.9971146,37.54149454,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742362307061Z8OFGSG6YMHGK7ABHIQPJRXJO,02-3783-5997,10:30,12:00,이용일,2,20250426,0:00:00
34,자체,S250324093344225285,문화체험,공원탐방,접수중,호현당 서당체험(유아 단체),무료,서울시 중부공원여가센터>호현당," 어린이(6세, 7세 어린이)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324093344225285,126.9804211,37.55517462,2025-04-02 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-24 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742776912505BLPOJE9G27SIJLPK89ESLU2Q4,02-3783-5997,10:30,11:30,이용일,6,20250430,0:00:00
35,자체,S250324095000018546,문화체험,공원탐방,접수중,(수) 호현당에서 심신다파(心身茶破),무료,서울시 중부공원여가센터>호현당,성인(성인 누구나),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324095000018546,126.9804211,37.55517462,2025-04-02 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-27 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742777587607WM329UTAR9RTGSU8JNXCBBZCW,02-3783-5997,14:00,15:30,이용일,3,20250430,0:00:00
36,자체,S250324100436061163,문화체험,공원탐방,접수중,(토) 호현당에서 심신다파(心身茶破),무료,서울시 중부공원여가센터>호현당,성인(성인 누구나),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324100436061163,126.9804211,37.55517462,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-25 14:00:00,2025-04-23 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742778450541126XBQU7GFK7JZYQVI8RM0RRC,02-3783-5997,10:00,11:30,이용일,3,20250426,0:00:00
37,자체,S250324101755914171,문화체험,공원탐방,예약마감,(토) 호현당에서 다함께 차차차(茶茶茶),무료,서울시 중부공원여가센터>호현당,가족(7세이상 동반 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324101755914171,126.9804211,37.55517462,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-25 14:00:00,2025-04-23 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742781532536SLCU6NEJZS7KF203T6F1E63X5,02-3783-5997,14:00,15:30,이용일,3,20250426,0:00:00
38,자체,S250324130059281305,문화체험,공원탐방,예약마감,호현당 서당체험(가족),무료,서울시 중부공원여가센터>호현당,어린이(6세이상 어린이 동반 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324130059281305,126.9804211,37.55517462,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-25 14:00:00,2025-04-24 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742789259024DKIGL187LIB44IU9LZKYAVI0T,02-3783-5997,10:30,12:00,이용일,4,20250427,0:00:00
39,자체,S250319150848738037,문화체험,공원탐방,예약마감,(일)서울 한양도성의 비밀,무료,서울시 중부공원여가센터>안중근의사 동상,초등학생(초등 고학년이상 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319150848738037,126.9804034,37.55346993,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742369334153NKDIDOBKQM8AEQBO82SERJWUU,02-3783-5995,10:30,15:30,이용일,3,20250427,0:00:00
47,자체,S250319145215116684,문화체험,공원탐방,접수중,(일) 남산 숲탐정 명탐정,무료,서울시 중부공원여가센터>한남유아숲체험원앞,가족(초등이상 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319145215116684,126.9971,37.54148,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742363694292M5K34CAIFE30P9QWESDJUDXVE,02-3783-5995,10:30,15:30,이용일,3,20250427,0:00:00
48,자체,S250320171223359932,문화체험,공원탐방,접수중,한남 숲놀이터(한남유아숲체험원),무료,서울시 중부공원여가센터>한남유아숲체험원앞,유아(유아를 동반한 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320171223359932,126.9971,37.54148,2025-04-02 0:00:00,20250421 00:00:00.0,2025-03-21 14:00:00,2025-04-18 9:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742458830003MLUEK8QIM6MXB1UTG2I297SNH,02-3783-5995,14:00,15:30,이용일,3,20250421,0:00:00
49,자체,S250319150107313383,문화체험,공원탐방,접수중,(토) 낙산의 좌룡정 활시위를 당겨라,무료,서울시 중부공원여가센터>낙산공원 전시장 앞,가족(초등3학년이상 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319150107313383,127.00654,37.5806,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742364298360UOTT0PRPP29AXLRURICE586YV,02-3783-5995,10:30,15:30,이용일,2,20250426,0:00:00
50,자체,S250206140101730760,문화체험,공원탐방,접수중,2025년 그린웨딩 참여자 추가모집,무료,용산가족공원,성인(그린웨딩을 희망하는 예비부부),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250206140101730760,126.9836425,37.52194622,2025-04-05 0:00:00,20251130 00:00:00.0,2025-02-13 13:00:00,2025-11-30 17:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1738819458641AYQIDY1LKICVV0MBY08COORY4,"02-3783-5996, 5997",10:00,17:00,이용일,0,20251130,0:00:00
51,자체,S250320094013949014,문화체험,공원탐방,예약마감,목화체험(전통기구 체험),무료,용산가족공원,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320094013949014,126.9836425,37.52194622,2025-04-26 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-25 16:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17424314342847J1ESR3VI6F41VCMDJGVZD0GW,02-792-7520,14:00,15:20,이용일,5,20250426,0:00:00
52,자체,S250320095213300638,문화체험,공원탐방,예약마감,텃밭에 사는 곤충들 (유아단체),무료,용산가족공원,유아,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320095213300638,126.9836425,37.52194622,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-20 14:00:00,2025-04-15 16:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742432021978XBPICW9BYB8LE4XW2LQD7OYI3,02-792-7520,10:00,10:50,이용일,21,20250430,0:00:00
53,자체,S250324133317969280,문화체험,공원탐방,접수중,용산가족공원 꼬물꼬물 호기심 숲 (유아단체),무료,용산가족공원,유아(6~7세 유아단체),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324133317969280,126.9836425,37.52194622,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-27 9:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742790860692NV9L7IMPZQ0RZ4S6TLTHVLKFN,02-3783-5997,10:00,11:30,이용일,3,20250430,0:00:00
54,자체,S250325104635862587,문화체험,공원탐방,접수중,건강 힐링 산책〔벚꽃 데이〕,무료,용산가족공원,성인(성인만 가능),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250325104635862587,126.9836425,37.52194622,2025-04-11 0:00:00,20250412 00:00:00.0,2025-03-25 14:00:00,2025-04-09 9:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174287679822040L14G7XOSJL242MV0WX3PLUX,02-3783-5997,10:00,11:30,이용일,3,20250412,0:00:00
55,자체,S250327171323479603,문화체험,공원탐방,접수중,(주말) 아가랑 봄숲나들이,무료,용산가족공원,가족(유아 0~7세),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250327171323479603,126.9836425,37.52194622,2025-04-13 0:00:00,20250420 00:00:00.0,2025-03-31 14:00:00,2025-04-17 14:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743254530552N7SX5LVI9JXT3DQJ4IRANH4NF,,10:00,15:00,이용일,4,20250420,0:00:00
56,자체,S250330111646367779,문화체험,공원탐방,예약마감,(주말) 가족밧줄숲체험,무료,용산가족공원,가족(6세 이상 ),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250330111646367779,126.9836425,37.52194622,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-31 14:00:00,2025-04-24 12:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743301006204RTMZ0IUD2LMX9V48I1CKPXYNB,,10:00,15:00,이용일,4,20250426,0:00:00
57,자체,S241206084832016026,문화체험,공원탐방,접수중,길동생태공원 입장예약(2025년),무료,길동생태공원,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241206084832016026,127.15333,37.53907,2025-01-01 0:00:00,20251231 00:00:00.0,2024-12-07 9:00:00,2025-12-30 17:00:00,강동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=173344258749631W833K52OIQW1P5DYMOUD2ZE,"02-472-2770(대표전화), 02-472-2799(프로그램 문의) 주중 9:00~17:00(주말 불가) ",10:00,18:00,이용일,1,20251231,0:00:00
