,服务分类,服务ID,大分类名称,小分类名称,服务状态,服务名称,支付方式,场所名称,服务对象,快捷链接URL,场所X坐标,场所Y坐标,服务开始起始日期时间,服务开始结束日期时间,接收开始日期时间,接收结束日期时间,区域名称,图片路径,电话号码,服务使用开始时间,服务使用结束时间,取消期限基准信息,取消期限截止日期,结束日期,结束时间
13,本身,S250324132054022350,文化体验,公园探访,正在接收,（周六）龙山家庭公园森林疗愈,免费,龙山家庭公园,小学生（小学生及陪同家长）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324132054022350,126.9836425,37.52194622,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-25 14:00:00,2025-04-23 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742790496757AY7GC0SZG5EF5G3GW6U4BU2QR,02-3783-5997,10:00,15:30,李龙日,3,20250426,0:00:00
14,本身,S250320144932283057,文化体验,教育体验,预约截止,[世界杯公园] 梦想园丁（平日幼儿，4月，植物茁壮成长）,免费,首尔特别市山岳文化体验中心>夕阳休闲中心,幼儿,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320144932283057,126.8800723,37.56968625,2025-04-02 0:00:00,20250423 00:00:00.0,2025-03-25 10:00:00,2025-04-22 17:00:00,麻浦区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427962184253B94J26LY5230LPC0AT1ORSW6,02-300-5574,10:30,12:00,李龙日,1,20250423,0:00:00
15,本身,S250323184236065066,文化体验,文化活动,预约截止,（夜间_4月）有休息的汉阳都城-忠信城墙村,免费,辉煌芦苇草地>兴仁之门公园前,成人（仅限成人参与）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250323184236065066,127.00862,37.57293,2025-04-30 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-28 17:00:00,钟路区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742723000639GUOYVMK6GEV9J7BP40235Y0JD,02-2133-2657,19:00,21:00,李龙日,1,20250430,0:00:00
16,本身,S250304170621393059,文化体验,山林休闲,正在接收,[森林疗愈] 首尔大公园疗愈之森，2025年天空之光迎接之森（个人用）,免费,首尔大公园>首尔大公园治愈之森,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304170621393059,127.0255367,37.43553421,2025-03-04 0:00:00,20251130 00:00:00.0,2025-03-05 0:00:00,2025-11-28 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742716007840Y3TPRCMAITQVSKK2WUYWJ1MLT,02-500-7577~7578,10:00,16:00,李龙日,2,20251130,0:00:00
17,本身,S250304180833587484,文化体验,山林休闲,正在接收,[森林疗愈] 首尔大公园疗愈之森，2025年疗愈之森（团体用）,免费,首尔大公园>首尔大公园治愈之森,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304180833587484,127.0255367,37.43553421,2025-03-04 0:00:00,20251130 00:00:00.0,2025-03-04 0:00:00,2025-11-30 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742715852187BW3ZEK506LJWBXFYPP3STG0L6,02-500-7577,10:00,16:00,李龙日,2,20251130,0:00:00
18,本身,S250304184423344837,文化体验,山林休闲,正在接收,[森林疗愈] 首尔大公园疗愈之森，2025年幸福之森（社会关注群体团体）,免费,首尔大公园>首尔大公园治愈之森,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304184423344837,127.0255367,37.43553421,2025-03-04 0:00:00,20251130 00:00:00.0,2025-03-04 0:00:00,2025-11-30 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427157563137XOOMW8Q4V6BHO6ERB2H1XBUH,02-500-7577,10:00,16:00,李龙日,2,20251130,0:00:00
19,本身,S250306111114018443,文化体验,山林休闲,正在接收,[森林疗愈] 首尔大公园森林疗愈中心，2025年悠闲之梦（个人用）,免费,首尔大公园>首尔大公园森林疗愈中心,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250306111114018443,127.0158636,37.43509838,2025-03-05 0:00:00,20251128 00:00:00.0,2025-03-06 0:00:00,2025-11-28 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742715813169BG1EOZ865UCHJYPYFW686RBX7,02-500-7577,9:30,14:30,李龙日,2,20251128,0:00:00
20,本身,S250320155127358820,文化体验,文化活动,正在接收,[宝来公园] 健康100岁项目 现场报名,免费,保拉梅公园管理事务所,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320155127358820,126.91946,37.49488,2025-04-01 0:00:00,20251030 00:00:00.0,2025-04-01 15:00:00,2025-10-30 13:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742453960807BBAQJD8K63JEA9CBZT91EYOFV,"02-2181-1177, 02-300-5574 ",15:00,16:00,李龙日,1,20251030,0:00:00
21,本身,S250320160803883681,文化体验,文化活动,正在接收,[宝来公园] 心跳跳的游乐场 现场报名,免费,保拉梅公园管理事务所,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320160803883681,126.91946,37.49488,2025-04-12 0:00:00,20251011 00:00:00.0,2025-03-25 15:00:00,2025-10-11 15:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742454709454BGNOQWS3A10I50W54RSXCSVYU,"02-2181-1177, 02-300-5574 ",15:00,17:00,李龙日,1,20251011,0:00:00
22,本身,S250324141247586917,文化体验,教育体验,预约截止,[宝来公园] 宝来家庭郊游（周六）（4月）,免费,保拉梅公园管理事务所>保拉梅公园管理事务所,家庭,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324141247586917,126.91946,37.49488,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-25 10:00:00,2025-04-25 17:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174279403378109A9DTWPHSPG7SVX38WP9GE18,02-2181-1177,10:00,15:30,李龙日,1,20250426,0:00:00
23,本身,S220426092440232101,文化体验,展览/参观,正在接收,首尔历史博物馆（本馆）团体参观,免费,首尔历史博物馆,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220426092440232101,126.97038,37.57052,2022-04-26 0:00:00,20250531 00:00:00.0,2022-04-26 10:00:00,2025-05-31 18:00:00,钟路区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1662105661028L1YDKT6O40X8PT274AIDEATHE,02-724-0274,9:00,18:00,李龙日,1,20250531,0:00:00
24,本身,S250324150715713065,文化体验,教育体验,正在接收,[宝来公园] 宝来彩色花园之旅（周五）（4月）,免费,保拉梅公园管理事务所>保拉梅公园管理事务所,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324150715713065,126.91946,37.49488,2025-04-04 0:00:00,20250425 00:00:00.0,2025-03-25 10:00:00,2025-04-24 17:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427973365030M331GQENMM6KKUXIVB6G9TWD," 02-2181-1177, 02-300-5574",10:00,15:00,李龙日,1,20250425,0:00:00
25,本身,S250324152838729163,文化体验,教育体验,正在接收,[宝来公园] 欢快的森林邀请（个人申请）（周四）（4月）,免费,保拉梅公园管理事务所>保拉梅公园管理事务所,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324152838729163,126.91946,37.49488,2025-04-10 0:00:00,20250424 00:00:00.0,2025-03-25 10:00:00,2025-04-23 17:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427986172116HFXBI1BNNIVIQEDSNDH28KI4," 02-2181-1177, 02-300-5574",10:00,15:30,李龙日,1,20250424,0:00:00
26,本身,S250324160954413905,文化体验,教育体验,正在接收,[宝来公园] 欢快的森林邀请（团体申请）（周四）（4月）,免费,保拉梅公园管理事务所>保拉梅公园管理事务所,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324160954413905,126.91946,37.49488,2025-04-03 0:00:00,20250417 00:00:00.0,2025-03-25 10:00:00,2025-04-16 17:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742800251786I3LDVIQFN2U4RO4HPJ3SDDG9J," 02-2181-1177, 02-300-5574",10:00,15:30,李龙日,1,20250417,0:00:00
27,本身,S250324162536452829,文化体验,教育体验,正在接收,[宝来公园] 儿童公园春天（周二）（4月）,免费,保拉梅公园管理事务所>保拉梅公园管理事务所,儿童,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324162536452829,126.91946,37.49488,2025-04-01 0:00:00,20250429 00:00:00.0,2025-03-25 10:00:00,2025-04-28 17:00:00,铜雀区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742802464463R1AJML744ZC9L0TFJ2ZCVX809," 02-2181-1177, 02-300-5574",14:00,15:30,李龙日,1,20250429,0:00:00
28,本身,S250324131325535484,文化体验,公园探访,预约截止,（周日）通过歌曲学习四字经,免费,首尔市中部公园休闲中心>豪贤堂,家庭（7岁以上儿童陪伴家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324131325535484,126.9804211,37.55517462,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-25 14:00:00,2025-04-24 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742789946097FDD08XG5Q8LCXFNHYION7Y10E,02-3783-5997,14:00,15:30,李龙日,4,20250427,0:00:00
31,本身,S250327113604350751,文化体验,农场体验,预约截止,（周六）儿童大公园4/5、4/12、4/19、4/26《4月儿童春季菜园体验教室》,有偿,首尔儿童大公园>儿童大公园后门菜园,儿童（6-13岁儿童，家长陪同）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250327113604350751,127.085052,37.551307,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-28 10:00:00,2025-04-25 17:00:00,广津区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743043238567PGDW9H36IEEG04UHPGME3FIBW,02-450-9338,14:00,15:30,李龙日,1,20250426,0:00:00
32,本身,S250320101939631997,文化体验,公园探访,预约截止,（园艺文化特别）博学多才的食物管家,免费,首尔市中部公园休闲中心,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320101939631997,126.99224,37.55566,2025-04-02 0:00:00,20250423 00:00:00.0,2025-03-20 14:00:00,2025-04-21 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742433693225W9WEFQJGD1QKNCGYP9VT2979Y,02-3783-5995,19:00,20:30,李龙日,2,20250423,0:00:00
33,本身,S250319142914371632,文化体验,公园探访,正在接收,（周六）南山森林自然游戏,免费,首尔市中部公园休闲中心>公园利用支持中心,家庭（小学及以上家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319142914371632,126.9971146,37.54149454,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742362307061Z8OFGSG6YMHGK7ABHIQPJRXJO,02-3783-5997,10:30,12:00,李龙日,2,20250426,0:00:00
34,本身,S250324093344225285,文化体验,公园探访,正在接收,湖贤堂书院体验（幼儿团体）,免费,首尔市中部公园休闲中心>豪贤堂,儿童（6岁、7岁儿童）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324093344225285,126.9804211,37.55517462,2025-04-02 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-24 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742776912505BLPOJE9G27SIJLPK89ESLU2Q4,02-3783-5997,10:30,11:30,李龙日,6,20250430,0:00:00
35,本身,S250324095000018546,文化体验,公园探访,正在接收,（周三）在湖贤堂进行身心茶破（心身茶破）,免费,首尔市中部公园休闲中心>豪贤堂,成人（任何成人）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324095000018546,126.9804211,37.55517462,2025-04-02 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-27 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742777587607WM329UTAR9RTGSU8JNXCBBZCW,02-3783-5997,14:00,15:30,李龙日,3,20250430,0:00:00
36,本身,S250324100436061163,文化体验,公园探访,正在接收,（周六）在湖贤堂进行身心茶破（心身茶破）,免费,首尔市中部公园休闲中心>豪贤堂,成人（任何成人）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324100436061163,126.9804211,37.55517462,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-25 14:00:00,2025-04-23 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742778450541126XBQU7GFK7JZYQVI8RM0RRC,02-3783-5997,10:00,11:30,李龙日,3,20250426,0:00:00
37,本身,S250324101755914171,文化体验,公园探访,预约截止,（周六）在湖贤堂一起喝茶（茶茶茶）,免费,首尔市中部公园休闲中心>豪贤堂,家庭（7岁以上家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324101755914171,126.9804211,37.55517462,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-25 14:00:00,2025-04-23 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742781532536SLCU6NEJZS7KF203T6F1E63X5,02-3783-5997,14:00,15:30,李龙日,3,20250426,0:00:00
38,本身,S250324130059281305,文化体验,公园探访,预约截止,湖贤堂书院体验（家庭）,免费,首尔市中部公园休闲中心>豪贤堂,儿童（6岁以上儿童陪伴家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324130059281305,126.9804211,37.55517462,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-25 14:00:00,2025-04-24 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742789259024DKIGL187LIB44IU9LZKYAVI0T,02-3783-5997,10:30,12:00,李龙日,4,20250427,0:00:00
39,本身,S250319150848738037,文化体验,公园探访,预约截止,（周日）首尔汉阳都城的秘密,免费,首尔市中部公园休闲中心>安重根医生雕像,小学生（小学高年级及以上家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319150848738037,126.9804034,37.55346993,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742369334153NKDIDOBKQM8AEQBO82SERJWUU,02-3783-5995,10:30,15:30,李龙日,3,20250427,0:00:00
47,本身,S250319145215116684,文化体验,公园探访,正在接收,（周日）南山森林侦探名侦探,免费,首尔市中部公园休闲中心>汉南幼儿森林体验馆前,家庭（小学及以上家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319145215116684,126.9971,37.54148,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742363694292M5K34CAIFE30P9QWESDJUDXVE,02-3783-5995,10:30,15:30,李龙日,3,20250427,0:00:00
48,本身,S250320171223359932,文化体验,公园探访,正在接收,汉南森林游乐场（汉南幼儿森林体验园）,免费,首尔市中部公园休闲中心>汉南幼儿森林体验馆前,幼儿（陪伴幼儿的家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320171223359932,126.9971,37.54148,2025-04-02 0:00:00,20250421 00:00:00.0,2025-03-21 14:00:00,2025-04-18 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742458830003MLUEK8QIM6MXB1UTG2I297SNH,02-3783-5995,14:00,15:30,李龙日,3,20250421,0:00:00
49,本身,S250319150107313383,文化体验,公园探访,正在接收,（周六）乐山的左龙亭拉弓射箭,免费,首尔市中部公园休闲中心>落山公园展览馆前,家庭（小学3年级及以上家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319150107313383,127.00654,37.5806,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,钟路区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742364298360UOTT0PRPP29AXLRURICE586YV,02-3783-5995,10:30,15:30,李龙日,2,20250426,0:00:00
50,本身,S250206140101730760,文化体验,公园探访,正在接收,2025年绿色婚礼参与者追加招募,免费,龙山家庭公园,成人（希望进行绿色婚礼的准新人）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250206140101730760,126.9836425,37.52194622,2025-04-05 0:00:00,20251130 00:00:00.0,2025-02-13 13:00:00,2025-11-30 17:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1738819458641AYQIDY1LKICVV0MBY08COORY4,"02-3783-5996, 5997",10:00,17:00,李龙日,0,20251130,0:00:00
51,本身,S250320094013949014,文化体验,公园探访,预约截止,棉花体验（传统器具体验）,免费,龙山家庭公园,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320094013949014,126.9836425,37.52194622,2025-04-26 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-25 16:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17424314342847J1ESR3VI6F41VCMDJGVZD0GW,02-792-7520,14:00,15:20,李龙日,5,20250426,0:00:00
52,本身,S250320095213300638,文化体验,公园探访,预约截止,菜园里的昆虫（幼儿团体）,免费,龙山家庭公园,幼儿,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320095213300638,126.9836425,37.52194622,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-20 14:00:00,2025-04-15 16:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742432021978XBPICW9BYB8LE4XW2LQD7OYI3,02-792-7520,10:00,10:50,李龙日,21,20250430,0:00:00
53,本身,S250324133317969280,文化体验,公园探访,正在接收,龙山家庭公园小虫小虫好奇森林（幼儿团体）,免费,龙山家庭公园,幼儿（6~7岁幼儿团体）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324133317969280,126.9836425,37.52194622,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-27 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742790860692NV9L7IMPZQ0RZ4S6TLTHVLKFN,02-3783-5997,10:00,11:30,李龙日,3,20250430,0:00:00
54,本身,S250325104635862587,文化体验,公园探访,正在接收,健康疗愈散步〔樱花日〕,免费,龙山家庭公园,成人（仅限成人）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250325104635862587,126.9836425,37.52194622,2025-04-11 0:00:00,20250412 00:00:00.0,2025-03-25 14:00:00,2025-04-09 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174287679822040L14G7XOSJL242MV0WX3PLUX,02-3783-5997,10:00,11:30,李龙日,3,20250412,0:00:00
55,本身,S250327171323479603,文化体验,公园探访,正在接收,（周末）与宝宝一起春季森林之旅,免费,龙山家庭公园,家庭（幼儿0~7岁）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250327171323479603,126.9836425,37.52194622,2025-04-13 0:00:00,20250420 00:00:00.0,2025-03-31 14:00:00,2025-04-17 14:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743254530552N7SX5LVI9JXT3DQJ4IRANH4NF,,10:00,15:00,李龙日,4,20250420,0:00:00
56,本身,S250330111646367779,文化体验,公园探访,预约截止,（周末）家庭绳索森林体验,免费,龙山家庭公园,家庭（6岁以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250330111646367779,126.9836425,37.52194622,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-31 14:00:00,2025-04-24 12:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743301006204RTMZ0IUD2LMX9V48I1CKPXYNB,,10:00,15:00,李龙日,4,20250426,0:00:00
57,本身,S241206084832016026,文化体验,公园探访,正在接收,吉洞生态公园入园预约（2025年）,免费,吉洞生态公园,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241206084832016026,127.15333,37.53907,2025-01-01 0:00:00,20251231 00:00:00.0,2024-12-07 9:00:00,2025-12-30 17:00:00,江东区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=173344258749631W833K52OIQW1P5DYMOUD2ZE,"02-472-2770(대표전화), 02-472-2799(프로그램 문의) 주중 9:00~17:00(주말 불가) ",10:00,18:00,李龙日,1,20251231,0:00:00
