,번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,소재지우편번호,문화체육업종명,전화번호,위치정보(X),위치정보(Y),상세영업상태명
10,70,미소쇼핑,서울특별시 서대문구 남가좌동 331-24번지 ,서울특별시 서대문구 모래내로 225 (남가좌동),20100819,운영중,120120.0,외국인전용관광기념품판매점,306-8891,193284.800977,452767.292277,영업중
11,69,화창코리아(주),서울특별시 서대문구 연희동 86-15번지 ,서울특별시 서대문구 연희로 145 (연희동),20100524,운영중,120110.0,외국인전용관광기념품판매점,325-6999,194136.122213,452339.234927,영업중
12,68,(주)고려씨엠,서울특별시 서대문구 연희동 89-21번지 ,서울특별시 서대문구 연희로 131 (연희동),20100428,운영중,120110.0,외국인전용관광기념품판매점,323-1268,194035.207854,452231.483787,영업중
13,67,주식회사 스킨애려옥,서울특별시 서대문구 대현동 27-53번지 ,서울특별시 서대문구 이화여대7길 40  (대현동),20091015,운영중,120170.0,외국인전용관광기념품판매점,392-1788,194998.676771,451016.275906,영업중
14,66,(주)다원호간보,서울특별시 서대문구 창천동 503-4번지 ,서울특별시 서대문구 신촌로 29 (창천동),20061101,운영중,120836.0,외국인전용관광기념품판매점,325-3893,193826.315825,450927.700262,영업중
15,65,한국전통음식체험관,서울특별시 서대문구 연희동 100-2번지 2층 ,"서울특별시 서대문구 증가로 48 (연희동,2층)",20060116,운영중,120824.0,외국인전용관광기념품판매점,333-9688,193762.189229,452517.809132,영업중
16,64,(주)경복한국명품전매점,서울특별시 서대문구 남가좌동 105-1번지 창덕에버빌 2층 ,"서울특별시 서대문구 모래내로 143 (남가좌동,창덕에버빌 2층)",20030212,운영중,120802.0,외국인전용관광기념품판매점,372-1688,192694.807875,452221.444907,영업중
17,63,(주)신정고려인삼,서울특별시 서대문구 홍은동 277-165번지 ,서울특별시 서대문구 모래내로 330 (홍은동),19990210,운영중,120847.0,외국인전용관광기념품판매점,395-8868,194147.553481,453358.3113,영업중
18,62,화창토산(주),서울특별시 서대문구 연희동 149-48번지 ,서울특별시 서대문구 연희로 212 (연희동),19960905,운영중,120110.0,외국인전용관광기념품판매점,337-3981,194330.85893,452938.079005,영업중
19,61,대복,서울특별시 서대문구 충정로3가 222번지 골든브릿지 2층 ,"서울특별시 서대문구 충정로 50, 2층 (충정로3가, 골든브릿지)",20141212,운영중,120708.0,외국인전용관광기념품판매점,3138778,196918.570321,451491.145988,영업중
20,60,(주)선샤인코스메틱,서울특별시 서대문구 연희동 169-25번지 ,"서울특별시 서대문구 연희로 245, 2, 3층 (연희동, 아취빌딩)",20141202,운영중,120827.0,외국인전용관광기념품판매점,3242242,194324.688918,453274.093245,영업중
21,59,(주)더블유서울,서울특별시 서대문구 남가좌동 330-35번지 ,서울특별시 서대문구 모래내로 235 (남가좌동),20130626,운영중,120806.0,외국인전용관광기념품판매점,376-8266,193361.413966,452852.164013,영업중
22,58,(주)아트코리아,서울특별시 종로구 부암동 202-4번지 ,서울특별시 종로구 자하문로 231 (부암동),20130107,운영중,110817.0,외국인전용관광기념품판매점,02-394-5551,196750.289074,455015.625605,영업중
23,57,청하고려인삼(주),서울특별시 종로구 부암동 182-1번지 청하빌딩 ,"서울특별시 종로구 자하문로 280 (부암동, 청하빌딩)",20050701,운영중,110816.0,외국인전용관광기념품판매점,02-395-1688,196616.231264,455453.710184,영업중
24,56,서울자수정,서울특별시 종로구 수송동 146-1번지 이마빌딩지하1층 ,"서울특별시 종로구 종로1길 42  (수송동,이마빌딩지하1층)",20030901,운영중,110755.0,외국인전용관광기념품판매점,02-720-8498,198143.444029,452706.653169,영업중
25,55,세종자수정,서울특별시 종로구 수송동 5번지 동일빌딩 지하1층 ,"서울특별시 종로구 우정국로 69, 지하1층 (수송동, 동일빌딩)",19990308,운영중,110140.0,외국인전용관광기념품판매점,720-3313,198450.29332,452850.199409,전입
26,54,(주)동화면세점,서울특별시 종로구 세종로 211번지 광화문빌딩지하1층 ,"서울특별시 종로구 세종대로 149  (세종로,광화문빌딩지하1층)",19830526,운영중,110730.0,외국인전용관광기념품판매점,02-399-3048,197892.146146,452225.931582,영업중
27,53,롯데면세점 월드타워점,서울특별시 송파구 신천동 29번지 ,서울특별시 송파구 올림픽로 300 (신천동),20040817,운영중,138240.0,외국인전용관광기념품판매점,02-411-7550,209129.0,445785.0,영업중
28,52,오륜쇼핑,서울특별시 송파구 잠실동 10번지 ,서울특별시 송파구 올림픽로 25 (잠실동),19960412,운영중,138220.0,외국인전용관광기념품판매점,2203-8147,206769.660832,446304.784078,영업중
29,51,주식회사 아이비씨백화점,서울특별시 마포구 연남동 361-17번지 ,서울특별시 마포구 연남로 85 (연남동),20140828,운영중,121240.0,외국인전용관광기념품판매점,02-359-8887,192778.7036,451863.185574,영업중
30,50,(주)황제,서울특별시 마포구 대흥동 337-15번지 신한빌딩 1층 ,"서울특별시 마포구 대흥로 51, 1층 (대흥동, 신한빌딩)",20140728,운영중,121810.0,외국인전용관광기념품판매점,3275-1562,194642.241007,449560.065995,영업중
31,49,(주)파인적송,서울특별시 마포구 신정동 96-24번지 1~2층 ,"서울특별시 마포구 창전로 16, 1~2층 (신정동)",20140723,운영중,121140.0,외국인전용관광기념품판매점,338-2088,193857.452405,449433.85344,영업중
32,48,(주)엘엔에이수화장품,"서울특별시 마포구 연남동 515-24번지 1,2층 ","서울특별시 마포구 연남로 29, 1,2층 (연남동)",20140612,운영중,121869.0,외국인전용관광기념품판매점,322-6188,193080.821602,451414.636904,영업중
33,47,송학지점,서울특별시 마포구 합정동 395-3번지 ,서울특별시 마포구 월드컵로3길 76 (합정동),20140414,운영중,121886.0,외국인전용관광기념품판매점,333-8386,191928.599592,450000.768523,영업중
34,46,(주)미스킨코리아,"서울특별시 마포구 서교동 444-17번지 덕화빌딩 1,2층 ","서울특별시 마포구 월드컵로 50 (서교동, 덕화빌딩)",20140331,운영중,121896.0,외국인전용관광기념품판매점,,192243.258203,450483.172554,영업중
35,45,(주)송광,서울특별시 마포구 신수동 457번지 마포벽산 솔렌스힐 상가 ,"서울특별시 마포구 광성로 28 (신수동, 마포벽산 솔렌스힐 상가)",20140327,운영중,121856.0,외국인전용관광기념품판매점,,194363.697593,450020.209395,영업중
36,44,(주)한국천지수,서울특별시 마포구 서교동 465-2번지 진영빌딩 비동 1~2호,"서울특별시 마포구 동교로 128, 비동 1~2층 (서교동, 진영빌딩)",20140312,운영중,121842.0,외국인전용관광기념품판매점,070-4801-3686,192611.912092,450599.817664,영업중
37,43,(주)필코리아,서울특별시 마포구 성산동 260-2번지 금수빌딩 102호,"서울특별시 마포구 월드컵로 134, 102호 (성산동, 금수빌딩)",20140227,운영중,121848.0,외국인전용관광기념품판매점,711-7125,191786.815777,451186.953996,영업중
38,42,한국보간보,서울특별시 마포구 성산동 41-7번지 레이빌딩 ,"서울특별시 마포구 월드컵북로 97 (성산동, 레이빌딩)",20131227,운영중,121843.0,외국인전용관광기념품판매점,336-9966,192437.652165,451394.7723,영업중
39,41,티파니,서울특별시 마포구 용강동 473-1번지 지하1층 ,"서울특별시 마포구 토정로 271, 지하1층 (용강동)",20130916,운영중,121876.0,외국인전용관광기념품판매점,,194724.949072,449218.590624,영업중
40,40,(주)송학,서울특별시 마포구 합정동 396-7번지 ,서울특별시 마포구 희우정로 14 (합정동),20130626,운영중,121886.0,외국인전용관광기념품판매점,333-8386,191981.504733,449927.035756,영업중
41,39,주식회사 삼화토산,"서울특별시 마포구 연남동 571-10번지 이노베이스빌딩 1,2동 ","서울특별시 마포구 월드컵북로6길 3, 1,2층 (연남동, 이노베이스빌딩)",20130305,운영중,121869.0,외국인전용관광기념품판매점,338-6009,192838.121223,450932.259067,영업중
42,38,청하플러스,서울특별시 마포구 상암동 1592번지 더팬 지하1층 ,"서울특별시 마포구 월드컵북로58길 10, 지하1층 (상암동, 더팬)",20130218,운영중,121835.0,외국인전용관광기념품판매점,302-1788,190025.552098,453566.767479,영업중
43,37,(주)서울코스메틱,서울특별시 마포구 노고산동 56-74번지 1층 ,"서울특별시 마포구 서강로 119, 1층 (노고산동)",20130215,운영중,121807.0,외국인전용관광기념품판매점,332-8831,194168.460263,450493.169005,영업중
44,36,AMC,서울특별시 마포구 성산동 114-3번지 성일아파트 1층 ,"서울특별시 마포구 월드컵북로 98, 1층 (성산동, 성일아파트)",20120817,운영중,121844.0,외국인전용관광기념품판매점,,192474.217072,451429.415539,영업중
45,35,한국해지천,서울특별시 마포구 상암동 30-2번지 ,서울특별시 마포구 월드컵북로 323 (상암동),20120802,운영중,121830.0,외국인전용관광기념품판매점,,190767.940193,452838.236637,영업중
46,34,(주)아트씨엠,서울특별시 마포구 서교동 447-7번지 1층 ,"서울특별시 마포구 월드컵북로 19, 1층 (서교동)",20120801,운영중,121841.0,외국인전용관광기념품판매점,1670-0810,192904.53293,450764.735913,영업중
47,33,(주)이피코리아,서울특별시 마포구 신수동 93-4번지 ,서울특별시 마포구 광성로 41-11 (신수동),20120621,운영중,121854.0,외국인전용관광기념품판매점,706-6662,194421.352158,450102.971929,영업중
48,32,동황고려인삼(주),서울특별시 마포구 서교동 465-9번지 평화빌딩 1~2층 ,"서울특별시 마포구 잔다리로 74, 1~2층 (서교동, 평화빌딩)",20120612,운영중,121842.0,외국인전용관광기념품판매점,338-8898,192644.594456,450521.27283,영업중
49,31,케센스코리아(주),서울특별시 마포구 마포동 36-1번지 ,서울특별시 마포구 마포대로1길 9 (마포동),20120529,운영중,121050.0,외국인전용관광기념품판매점,2633-2020,195006.834843,448872.070058,영업중
50,30,(주)파라다이스듀티프리,서울특별시 마포구 용강동 473-1번지 ,서울특별시 마포구 토정로 271 (용강동),20120318,운영중,121876.0,외국인전용관광기념품판매점,714-8884,194724.949072,449218.590624,영업중
51,29,(주)레이전트리(서교지점),서울특별시 마포구 서교동 457-25번지 지하1층-2층 ,"서울특별시 마포구 잔다리로 118 (서교동,지하1층-2층)",20110110,운영중,121841.0,외국인전용관광기념품판매점,336-9966,192399.491591,450887.067468,영업중
52,28,에이스,서울특별시 마포구 성산동 108-9번지 외 1필지 1층 ,"서울특별시 마포구 월드컵북로 106  (성산동,외 1필지 1층)",20100526,운영중,121844.0,외국인전용관광기념품판매점,337-2688,192431.193892,451486.24803,영업중
53,27,(주)제니왕,서울특별시 마포구 연남동 571-4번지 스페이스빌딩 1층 ,"서울특별시 마포구 월드컵북로 40, 1층 (연남동, 스페이스빌딩)",20100222,운영중,121869.0,외국인전용관광기념품판매점,3142-1082,192800.640825,450969.543647,영업중
54,26,(주)백색피부,서울특별시 마포구 서교동 449-5번지 에스디타워 1층 ,"서울특별시 마포구 월드컵북로 45  (서교동,에스디타워 1층)",20100210,운영중,121841.0,외국인전용관광기념품판매점,322-6889,192731.404405,450964.483156,영업중
55,25,코스메틱 갤러리,"서울특별시 마포구 성산동 114-21번지 지1층, 1층 ","서울특별시 마포구 월드컵북로 102  (성산동,지1층, 1층)",20090831,운영중,121250.0,외국인전용관광기념품판매점,,192454.29074,451450.735666,영업중
56,24,에스테퓨어 코리아(주),서울특별시 마포구 신수동 93-20번지 ,서울특별시 마포구 광성로 41-11  (신수동),20090611,운영중,,외국인전용관광기념품판매점,706-6662,194421.352158,450102.971929,영업중
57,23,(주)미담코스매틱,서울특별시 마포구 대흥동 445번지 ,서울특별시 마포구 독막로 275  (대흥동),20090317,운영중,121811.0,외국인전용관광기념품판매점,,195054.091404,449570.460271,영업중
58,22,금지옥엽,서울특별시 마포구 서교동 487번지 대우미래사랑상가142호 ,"서울특별시 마포구 월드컵북로5나길 18  (서교동,대우미래사랑상가142호)",20071213,운영중,121841.0,외국인전용관광기념품판매점,325-5552,192648.310761,450870.874388,영업중
59,21,(주)뉴미자코스메틱,서울특별시 마포구 서교동 459-9번지 1층 ,"서울특별시 마포구 잔다리로 94  (서교동,1층)",20070928,운영중,121842.0,외국인전용관광기념품판매점,338-1655,192529.042346,450686.631281,영업중
60,20,(주)서울씨앤씨코리아,서울특별시 마포구 서교동 467-3번지 ,서울특별시 마포구 잔다리로 89 (서교동),20070713,운영중,121842.0,외국인전용관광기념품판매점,335-5771,192521.669525,450624.484209,영업중
61,19,동황토산(주),서울특별시 마포구 서교동 465-10번지 지1층~3층 ,"서울특별시 마포구 잔다리로 76  (서교동,지1층~3층)",20070710,운영중,121842.0,외국인전용관광기념품판매점,338-8898,192634.439808,450541.926613,영업중
62,18,(주)고려,서울특별시 마포구 성산동 41-2번지 3호 ,"서울특별시 마포구 월드컵북로 99  (성산동,3호)",20070511,운영중,121843.0,외국인전용관광기념품판매점,323-1168,192421.821573,451409.996814,영업중
63,17,한국진주정간원,서울특별시 마포구 상암동 115-8번지 ,서울특별시 마포구 월드컵북로 351-3  (상암동),20070215,운영중,121831.0,외국인전용관광기념품판매점,302-8816,190539.879606,452986.923541,영업중
64,16,에이플러스인터내셔널(주),서울특별시 마포구 합정동 358-6번지 유니빌딩 1층 ,"서울특별시 마포구 독막로8길 49  (합정동,유니빌딩 1층)",20061113,운영중,121883.0,외국인전용관광기념품판매점,3142-0888,192729.682747,449572.024754,영업중
65,15,태풍전자,서울특별시 마포구 성산동 133-3번지 ,서울특별시 마포구 모래내로 83  (성산동),20060124,운영중,121849.0,외국인전용관광기념품판매점,308-8856,192245.094886,451880.800481,영업중
66,14,한국자수정,서울특별시 마포구 성산동 103-5번지 3층 ,"서울특별시 마포구 월드컵북로 109  (성산동,3층)",20051101,운영중,121844.0,외국인전용관광기념품판매점,324-0872,192364.515901,451489.000125,영업중
67,13,(주)재우엔터프라이즈,서울특별시 마포구 성산동 210-13번지 한성빌딩1층 ,"서울특별시 마포구 성미산로 85  (성산동,한성빌딩1층)",20040619,운영중,121846.0,외국인전용관광기념품판매점,326-3317,192665.297818,451272.970228,영업중
68,12,(주)한국엽하주,서울특별시 마포구 서교동 481-2번지 ,서울특별시 마포구 동교로 114  (서교동),20031110,운영중,121839.0,외국인전용관광기념품판매점,334-8383,192456.125918,450567.836198,영업중
69,11,(주)진왕고려진주초,서울특별시 마포구 성산동 210-13번지 한성빌딩 1층 ,"서울특별시 마포구 성미산로 85  (성산동,한성빌딩 1층)",20031213,운영중,121846.0,외국인전용관광기념품판매점,338-8856,192665.297818,451272.970228,영업중
70,10,(주)다미자수정,서울특별시 마포구 성산동 51-11번지 신안빌딩 지하1층 ,"서울특별시 마포구 월드컵북로 136  (성산동,신안빌딩 지하1층)",20020523,운영중,121747.0,외국인전용관광기념품판매점,3142-8836,192267.186568,451724.697928,영업중
71,9,(주)금화테크윈,서울특별시 마포구 창전동 113번지 1층 ,"서울특별시 마포구 서강로1길 6  (창전동,1층)",20020503,운영중,121881.0,외국인전용관광기념품판매점,334-2817,193932.103808,449923.419119,영업중
72,8,한농동충하초,서울특별시 마포구 서교동 464-46번지 ,서울특별시 마포구 동교로 136  (서교동),19990907,운영중,121842.0,외국인전용관광기념품판매점,325-3893,192689.045302,450616.621114,영업중
73,7,서아통상(주),서울특별시 마포구 동교동 113-3번지 서아빌딩4층 ,"서울특별시 마포구 연희로 25-1  (동교동,서아빌딩4층)",19870427,운영중,121816.0,외국인전용관광기념품판매점,,193511.625283,451306.641285,영업중
74,6,(주)장흥,서울특별시 강서구 등촌동 633-24번지 ,서울특별시 강서구 공항대로59다길 33-10 (등촌동),20130103,운영중,157839.0,외국인전용관광기념품판매점,02)3664-8086,188147.038807,450416.138805,영업중
75,5,유진 토산,"서울특별시 강서구 방화동 294-10번지 2층, 3층 ","서울특별시 강서구 방화대로 381  (방화동,2층, 3층)",20110531,운영중,157847.0,외국인전용관광기념품판매점,2666-6883,183782.767497,452831.645119,영업중
76,4,롯데김포공항면세점,서울특별시 강서구 방화동 866번지 김포공항국제선 3층 격리대합실 B사업지구 ,"서울특별시 강서구 금낭화로 100  (방화동,김포공항국제선 3층 격리대합실 B사업지구)",20110516,운영중,157850.0,외국인전용관광기념품판매점,2064-2700,183386.757805,452754.39935,영업중
77,3,(주)아리랑전통관광쇼핑에이마트,서울특별시 강서구 등촌동 660-6번지 ,서울특별시 강서구 공항대로 375  (등촌동),20090619,운영중,,외국인전용관광기념품판매점,3661-7375,186700.10098,450866.700881,영업중
78,2,(주)서림쇼핑,서울특별시 강서구 등촌동 678-10번지 재영빌딩 B101호,"서울특별시 강서구 강서로 402,  B101호 (등촌동,재영빌딩)",20070109,운영중,157030.0,외국인전용관광기념품판매점,3661-4561,185817.634833,451323.583689,영업중
79,1,엠엔디 주식회사,서울특별시 강서구 가양동 54-5번지 1층 ,"서울특별시 강서구 양천로 410  (가양동,1층)",20010713,운영중,157801.0,외국인전용관광기념품판매점,02-2661-7548,186492.874954,451739.636759,영업중
