,No. (Number),Business Name,Full Address (of Business Location),Full Road Name Address,Opening Date,Business Status,Postal Code of Business Location,Cultural and Sports Industry Type,Phone Number,Location Information (X Coordinate),Location Information (Y Coordinate),Detailed Business Status
13,67,"Skin Careok Co., Ltd.","27-53 Daehyeon-dong, Seodaemun-gu, Seoul","40 Ihwa University 7th Street, Daehyeon-dong, Seodaemun-gu, Seoul",20091015,Operating,120170,Foreign tourist souvenir shop,392-1788,,,Open for business
14,66,"Daewon Hoganbo Co., Ltd.","503-4 Changcheon-dong, Seodaemun-gu, Seoul","29 Sinchon-ro, Changcheon-dong, Seodaemun-gu, Seoul",20061101,Operating,120836,Foreign tourist souvenir shop,325-3893,,,Open for business
15,65,Korean Traditional Food Experience Hall,"100-2 Yeonhui-dong, 2nd Floor, Seodaemun-gu, Seoul","48 Jangsa-ro, 2nd Floor, Yeonhui-dong, Seodaemun-gu, Seoul",20060116,Operating,120824,Foreign tourist souvenir shop,333-9688,,,Open for business
16,64,"Gyeongbok Korean Luxury Goods Store Co., Ltd.","105-1 Namgajwa-dong, Changdeok Everville, 2nd Floor, Seodaemun-gu, Seoul","143 Moraenae-ro, Namgajwa-dong, Changdeok Everville, 2nd Floor, Seodaemun-gu, Seoul",20030212,Operating,120802,Foreign tourist souvenir shop,372-1688,,,Open for business
17,63,"Shinjeong Korean Ginseng Co., Ltd.","277-165 Hongun-dong, Seodaemun-gu, Seoul","330 Moraenae-ro, Hongun-dong, Seodaemun-gu, Seoul",19990210,Operating,120847,Foreign tourist souvenir shop,395-8868,,,Open for business
18,62,"Hwachaeng Tosan Co., Ltd.","149-48 Yeonhui-dong, Seodaemun-gu, Seoul","212 Yeonhui-ro, Yeonhui-dong, Seodaemun-gu, Seoul",19960905,Operating,120110,Foreign tourist souvenir shop,337-3981,,,Open for business
19,61,Daebok,"222 Chungjeongno 3-ga, Golden Bridge 2nd Floor, Seodaemun-gu, Seoul","50 Chungjeongno, 2nd Floor, Chungjeongno 3-ga, Golden Bridge, Seodaemun-gu, Seoul",20141212,Operating,120708,Foreign tourist souvenir shop,3138778,,,Open for business
20,60,"Sunshine Cosmetics Co., Ltd.","169-25 Yeonhui-dong, Seodaemun-gu, Seoul","245 Yeonhui-ro, 2nd and 3rd Floors, Yeonhui-dong, Achi Building, Seodaemun-gu, Seoul",20141202,Operating,120827,Foreign tourist souvenir shop,3242242,,,Open for business
21,59,"W Seoul Co., Ltd.","330-35 Namgajwa-dong, Seodaemun-gu, Seoul","235 Moraenae-ro, Namgajwa-dong, Seodaemun-gu, Seoul",20130626,Operating,120806,Foreign tourist souvenir shop,376-8266,,,Open for business
22,58,"Art Korea Co., Ltd.","202-4 Buam-dong, Jongno-gu, Seoul","231 Jahamun-ro, Buam-dong, Jongno-gu, Seoul",20130107,Operating,110817,Foreign tourist souvenir shop,02-394-5551,,,Open for business
23,57,"Cheongha Korean Ginseng Co., Ltd.","182-1 Buam-dong, Cheongha Building, Jongno-gu, Seoul","280 Jahamun-ro, Buam-dong, Cheongha Building, Jongno-gu, Seoul",20050701,Operating,110816,Foreign tourist souvenir shop,02-395-1688,,,Open for business
24,56,Seoul Crystal,"146-1 Susong-dong, Ima Building B1, Jongno-gu, Seoul","42 Jongno 1-gil, Susoong-dong, Ima Building, Basement 1st Floor, Jongno-gu, Seoul",20030901,Operating,110755,Foreign tourist souvenir shop,02-720-8498,,,Open for business
25,55,Sejong Crystal,"5 Susong-dong, Dongil Building B1, Jongno-gu, Seoul","69 Ujeongguk-ro, Basement 1st Floor, Susoong-dong, Dongil Building, Jongno-gu, Seoul",19990308,Operating,110140,Foreign tourist souvenir shop,720-3313,,,Open for business
26,54,"Donghwa Duty-Free Shop Co., Ltd.","211 Sejong-ro, Gwanghwamun Building B1, Jongno-gu, Seoul","149 Sejong-daero, Gwanghwamun Building, Basement 1st Floor, Sejong-ro, Jongno-gu, Seoul",19830526,Operating,110730,Foreign tourist souvenir shop,02-399-3048,,,Open for business
27,53,Lotte Duty-Free Shop World Tower Branch,"29 Sincheon-dong, Songpa-gu, Seoul","300 Olympic-ro, Sincheon-dong, Songpa-gu, Seoul",20040817,Operating,138240,Foreign tourist souvenir shop,02-411-7550,,,Open for business
28,52,Oryun Shopping,"10 Jamsil-dong, Songpa-gu, Seoul","25 Olympic-ro, Jamsil-dong, Songpa-gu, Seoul",19960412,Operating,138220,Foreign tourist souvenir shop,2203-8147,,,Open for business
29,51,"IBC Department Store Co., Ltd.","361-17 Yeonnam-dong, Mapo-gu, Seoul","85 Yeonnam-ro, Yeonnam-dong, Mapo-gu, Seoul",20140828,Operating,121240,Foreign tourist souvenir shop,02-359-8887,,,Open for business
30,50,"Hwangje Co., Ltd.","337-15 Daehyeon-dong, Shinhan Building 1st Floor, Mapo-gu, Seoul","51 Daeheung-ro, 1st Floor, Daeheung-dong, Shinhan Building, Mapo-gu, Seoul",20140728,Operating,121810,Foreign tourist souvenir shop,3275-1562,,,Open for business
31,49,"Fine Jeoksong Co., Ltd.","96-24 Sinjeong-dong, 1st-2nd Floors, Mapo-gu, Seoul","16 Changjeon-ro, 1st-2nd Floors, Sinjeong-dong, Mapo-gu, Seoul",20140723,Operating,121140,Foreign tourist souvenir shop,338-2088,,,Open for business
32,48,"LNA Cosmetics Co., Ltd.","515-24 Yeonnam-dong, 1st-2nd Floors, Mapo-gu, Seoul","29 Yeonnam-ro, 1st and 2nd Floors, Yeonnam-dong, Mapo-gu, Seoul",20140612,Operating,121869,Foreign tourist souvenir shop,322-6188,,,Open for business
33,47,Songhak Branch,"395-3 Hapjeong-dong, Mapo-gu, Seoul","76 World Cup Road 3rd Street, Hapjeong-dong, Mapo-gu, Seoul",20140414,Operating,121886,Foreign tourist souvenir shop,333-8386,,,Open for business
34,46,"Misskin Korea Co., Ltd.","444-17 Seogyo-dong, Deokhwa Building 1st-2nd Floors, Mapo-gu, Seoul","50 World Cup Road, Seogyo-dong, Deokhwa Building, Mapo-gu, Seoul",20140331,Operating,121896,Foreign tourist souvenir shop,,,,Open for business
35,45,"Songgwang Co., Ltd.","457 Sinsoo-dong, Mapo Beksan Solence Hill, Mapo-gu, Seoul","28 Gwangseong-ro, Sinsoo-dong, Mapo Beksan Sollenshill Shopping Center, Mapo-gu, Seoul",20140327,Operating,121856,Foreign tourist souvenir shop,,,,Open for business
36,44,"Korea Cheonji Water Co., Ltd.","465-2 Seogyo-dong, Jinyoung Building B-wing 1st-2nd Floors, Mapo-gu, Seoul","128 Donggyo-ro, B1-2 Floors, Seogyo-dong, Jinyoung Building, Mapo-gu, Seoul",20140312,Operating,121842,Foreign tourist souvenir shop,070-4801-3686,,,Open for business
37,43,"Phil Korea Co., Ltd.","260-2 Seongsan-dong, Geumsu Building 102, Mapo-gu, Seoul","134 World Cup Road, 102, Seongsan-dong, Geumsu Building, Mapo-gu, Seoul",20140227,Operating,121848,Foreign tourist souvenir shop,711-7125,,,Open for business
38,42,Korean Hogambo,"41-7 Seongsan-dong, Rey Building, Mapo-gu, Seoul","97 World Cup North Road, Seongsan-dong, Ray Building, Mapo-gu, Seoul",20131227,Operating,121843,Foreign tourist souvenir shop,336-9966,,,Open for business
39,41,Tiffany,"473-1 Yonggang-dong, B1, Mapo-gu, Seoul","271 Tojeong-ro, Basement 1st Floor, Yonggang-dong, Mapo-gu, Seoul",20130916,Operating,121876,Foreign tourist souvenir shop,,,,Open for business
40,40,"Songhak Co., Ltd.","396-7 Hapjeong-dong, Mapo-gu, Seoul","14 Heeujung-ro, Hapjeong-dong, Mapo-gu, Seoul",20130626,Operating,121886,Foreign tourist souvenir shop,333-8386,,,Open for business
41,39,"Samhwa Tosan Co., Ltd.","571-10 Yeonnam-dong, Inovase Building 1st-2nd Wings, Mapo-gu, Seoul","6 World Cup North Road 6th Street, 1st and 2nd Floors, Yeonnam-dong, InnoBase Building, Mapo-gu, Seoul",20130305,Operating,121869,Foreign tourist souvenir shop,338-6009,,,Open for business
42,38,Cheongha Plus,"1592 Sangam-dong, The Fan B1, Mapo-gu, Seoul","10 World Cup North Road 58th Street, Basement 1st Floor, Sangam-dong, The Fan, Mapo-gu, Seoul",20130218,Operating,121835,Foreign tourist souvenir shop,302-1788,,,Open for business
43,37,"Seoul Cosmetics Co., Ltd.","56-74 Nogo Mountain-dong, 1st Floor, Mapo-gu, Seoul","119 Seogang-ro, 1st Floor, Nogosan-dong, Mapo-gu, Seoul",20130215,Operating,121807,Foreign tourist souvenir shop,332-8831,,,Open for business
44,36,AMC,"114-3 Seongsan-dong, Seongil Apartments 1st Floor, Mapo-gu, Seoul","98 World Cup North Road, 1st Floor, Seongsan-dong, Seongil Apartment, Mapo-gu, Seoul",20120817,Operating,121844,Foreign tourist souvenir shop,,,,Open for business
45,35,"Korea Haeji Cheon Co., Ltd.","30-2 Sangam-dong, Mapo-gu, Seoul","323 World Cup North Road, Sangam-dong, Mapo-gu, Seoul",20120802,Operating,121830,Foreign tourist souvenir shop,,,,Open for business
46,34,"Art CM Co., Ltd.","447-7 Seogyo-dong, 1st Floor, Mapo-gu, Seoul","19 World Cup North Road, 1st Floor, Seogyo-dong, Mapo-gu, Seoul",20120801,Operating,121841,Foreign tourist souvenir shop,1670-0810,,,Open for business
47,33,"EPI Korea Co., Ltd.","93-4 Sinsoo-dong, Mapo-gu, Seoul","41-11 Gwangseong-ro, Sinsoo-dong, Mapo-gu, Seoul",20120621,Operating,121854,Foreign tourist souvenir shop,706-6662,,,Open for business
48,32,"Donghwang Korean Ginseng Co., Ltd.","465-9 Seogyo-dong, Pyeonghwa Building 1st-2nd Floors, Mapo-gu, Seoul","74 Jandari-ro, 1st-2nd Floors, Seogyo-dong, Pyeonghwa Building, Mapo-gu, Seoul",20120612,Operating,121842,Foreign tourist souvenir shop,338-8898,,,Open for business
49,31,"Kessence Korea Co., Ltd.","36-1 Mapo-dong, Mapo-gu, Seoul","9 Mapo-daero 1st Street, Mapo-dong, Mapo-gu, Seoul",20120529,Operating,121050,Foreign tourist souvenir shop,2633-2020,,,Open for business
50,30,"Paradise Duty-Free Co., Ltd.","473-1 Yonggang-dong, Mapo-gu, Seoul","271 Tojeong-ro, Yonggang-dong, Mapo-gu, Seoul",20120318,Operating,121876,Foreign tourist souvenir shop,714-8884,,,Open for business
51,29,"Radiant Tree (Seogyo Branch) Co., Ltd.","457-25 Seogyo-dong, B1-2nd Floor, Mapo-gu, Seoul","118 Jandari-ro, Seogyo-dong, Basement 1st-2nd Floors, Mapo-gu, Seoul",20110110,Operating,121841,Foreign tourist souvenir shop,336-9966,,,Open for business
52,28,Ace,"108-9 Seongsan-dong, and another parcel of land, 1st Floor, Mapo-gu, Seoul","106 World Cup North Road, Seongsan-dong, Outside 1st Floor, Mapo-gu, Seoul",20100526,Operating,121844,Foreign tourist souvenir shop,337-2688,,,Open for business
53,27,"Jenny Wang Co., Ltd.","571-4 Yeonnam-dong, Space Building 1st Floor, Mapo-gu, Seoul","40 World Cup North Road, 1st Floor, Yeonnam-dong, Space Building, Mapo-gu, Seoul",20100222,Operating,121869,Foreign tourist souvenir shop,3142-1082,,,Open for business
54,26,"White Skin Co., Ltd.","449-5 Seogyo-dong, SD Tower 1st Floor, Mapo-gu, Seoul","45 World Cup North Road, 1st Floor, Seogyo-dong, SD Tower, Mapo-gu, Seoul",20100210,Operating,121841,Foreign tourist souvenir shop,322-6889,,,Open for business
55,25,Cosmetic Gallery,"114-21 Seongsan-dong, B1, 1st Floor, Mapo-gu, Seoul","102 World Cup North Road, 1st Floor, Seongsan-dong, Basement 1st Floor, 1st Floor, Mapo-gu, Seoul",20090831,Operating,121250,Foreign tourist souvenir shop,,,,Open for business
56,24,"Estepure Korea Co., Ltd.","93-20 Sinsoo-dong, Mapo-gu, Seoul","41-11 Gwangseong-ro, Sinsoo-dong, Mapo-gu, Seoul",20090611,Operating,,Foreign tourist souvenir shop,706-6662,,,Open for business
57,23,"Midan Cosmetics Co., Ltd.","445 Daehyeon-dong, Mapo-gu, Seoul","275 Dokmak-ro, Daeheung-dong, Mapo-gu, Seoul",20090317,Operating,121811,Foreign tourist souvenir shop,,,,Open for business
58,22,Geumjiokyeob,"487 Seogyo-dong, Daewoo Mirae Love Shopping Mall, Unit 142, Mapo-gu, Seoul","18 World Cup North Road 5th Street, 142, Seogyo-dong, Daewoo Future Love Shopping Center, Mapo-gu, Seoul",20071213,Operating,121841,Foreign tourist souvenir shop,325-5552,,,Open for business
59,21,"New Mija Cosmetics Co., Ltd.","459-9 Seogyo-dong, 1st Floor, Mapo-gu, Seoul","94 Jandari-ro, 1st Floor, Seogyo-dong, Mapo-gu, Seoul",20070928,Operating,121842,Foreign tourist souvenir shop,338-1655,,,Open for business
60,20,"Seoul CNC Korea Co., Ltd.","467-3 Seogyo-dong, Mapo-gu, Seoul","89 Jandari-ro, Seogyo-dong, Mapo-gu, Seoul",20070713,Operating,121842,Foreign tourist souvenir shop,335-5771,,,Open for business
61,19,"Donghwang Tosan Co., Ltd.","465-10 Seogyo-dong, B1-3rd Floor, Mapo-gu, Seoul","76 Jandari-ro, Seogyo-dong, Basement 1st-3rd Floors, Mapo-gu, Seoul",20070710,Operating,121842,Foreign tourist souvenir shop,338-8898,,,Open for business
62,18,"Korea Goryeo Co., Ltd.","41-2 Seongsan-dong, Unit 3, Mapo-gu, Seoul","99 World Cup North Road, Seongsan-dong, 3rd Floor, Mapo-gu, Seoul",20070511,Operating,121843,Foreign tourist souvenir shop,323-1168,,,Open for business
63,17,Korea Pearl Jewelry Center,"115-8 Sangam-dong, Mapo-gu, Seoul","351-3 World Cup North Road, Sangam-dong, Mapo-gu, Seoul",20070215,Operating,121831,Foreign tourist souvenir shop,302-8816,,,Open for business
64,16,"A Plus International Co., Ltd.","358-6 Hapjeong-dong, Uni Building 1st Floor, Mapo-gu, Seoul","49 Dokmak-ro 8th Street, Hapjeong-dong, Unibuilding 1st Floor, Mapo-gu, Seoul",20061113,Operating,121883,Foreign tourist souvenir shop,3142-0888,,,Open for business
65,15,Typhoon Electronics,"133-3 Seongsan-dong, Mapo-gu, Seoul","83 Moraenae-ro, Seongsan-dong, Mapo-gu, Seoul",20060124,Operating,121849,Foreign tourist souvenir shop,308-8856,,,Open for business
66,14,Korea Crystal,"103-5 Seongsan-dong, 3rd Floor, Mapo-gu, Seoul","109 World Cup North Road, 3rd Floor, Seongsan-dong, Mapo-gu, Seoul",20051101,Operating,121844,Foreign tourist souvenir shop,324-0872,,,Open for business
67,13,"Jae Woo Enterprise Co., Ltd.","210-13 Seongsan-dong, Hanseong Building 1st Floor, Mapo-gu, Seoul","85 Seongmisan-ro, Seongsan-dong, Hanseong Building 1st Floor, Mapo-gu, Seoul",20040619,Operating,121846,Foreign tourist souvenir shop,326-3317,,,Open for business
68,12,"Korea Yeophajoo Co., Ltd.","481-2 Seogyo-dong, Mapo-gu, Seoul","114 Donggyo-ro, Seogyo-dong, Mapo-gu, Seoul",20031110,Operating,121839,Foreign tourist souvenir shop,334-8383,,,Open for business
69,11,"Jinwang Goryeo Pearl Co., Ltd.","210-13 Seongsan-dong, Hanseong Building 1st Floor, Mapo-gu, Seoul","85 Seongmisan-ro, Seongsan-dong, Hanseong Building 1st Floor, Mapo-gu, Seoul",20031213,Operating,121846,Foreign tourist souvenir shop,338-8856,,,Open for business
70,10,"Dami Crystal Co., Ltd.","51-11 Seongsan-dong, Sinan Building B1, Mapo-gu, Seoul","136 World Cup North Road, Seongsan-dong, Sinan Building, Basement 1st Floor, Mapo-gu, Seoul",20020523,Operating,121747,Foreign tourist souvenir shop,3142-8836,,,Open for business
71,9,"Geumhwa Techwin Co., Ltd.","113 Changcheon-dong, 1st Floor, Mapo-gu, Seoul","6 Seogang-ro 1st Street, Changjeon-dong, 1st Floor, Mapo-gu, Seoul",20020503,Operating,121881,Foreign tourist souvenir shop,334-2817,,,Open for business
72,8,Han Nong Dongchun Hacho,"464-46 Seogyo-dong, Mapo-gu, Seoul","136 Donggyo-ro, Seogyo-dong, Mapo-gu, Seoul",19990907,Operating,121842,Foreign tourist souvenir shop,325-3893,,,Open for business
73,7,"SeoA Trading Co., Ltd.","113-3 Donggyo-dong, Seo-A Building 4th Floor, Mapo-gu, Seoul","25-1 Yeonhui-ro, 4th Floor, Donggyo-dong, Seo A Building, Mapo-gu, Seoul",19870427,Operating,121816,Foreign tourist souvenir shop,,,,Open for business
74,6,"Jangheung Co., Ltd.","633-24 Deungchon-dong, Gangseo-gu, Seoul","33-10 Gonghang-daero 59th Street, Deungchon-dong, Gangseo-gu, Seoul",20130103,Operating,157839,Foreign tourist souvenir shop,02)3664-8086,,,Open for business
75,5,Yujin Tosan,"294-10 Banghwa-dong, 2nd-3rd Floors, Gangseo-gu, Seoul","381 Banghwa-daero, 2nd-3rd Floors, Banghwa-dong, Gangseo-gu, Seoul",20110531,Operating,157847,Foreign tourist souvenir shop,2666-6883,,,Open for business
76,4,Lotte Gimpo Airport Duty-Free Shop,"866 Banghwa-dong, Gimpo Airport International Terminal 3rd Floor, Quarantine Waiting Area B Business Zone, Gangseo-gu, Seoul","100 Geumnanghwa-ro, 3rd Floor, International Terminal, Gimpo Airport, B Zone, Banghwa-dong, Gangseo-gu, Seoul",20110516,Operating,157850,Foreign tourist souvenir shop,2064-2700,,,Open for business
77,3,"Arirang Traditional Tourism Shopping E-Mart Co., Ltd.","660-6 Deungchon-dong, Gangseo-gu, Seoul","375 Gonghang-daero, Deungchon-dong, Gangseo-gu, Seoul",20090619,Operating,,Foreign tourist souvenir shop,3661-7375,,,Open for business
78,2,"Seolim Shopping Co., Ltd.","678-10 Deungchon-dong, Jaeyoung Building B101, Gangseo-gu, Seoul","402 Gangseo-ro, B101, Deungchon-dong, Jaeyoung Building, Gangseo-gu, Seoul",20070109,Operating,157030,Foreign tourist souvenir shop,3661-4561,,,Open for business
79,1,"MND Co., Ltd.","54-5 Gayang-dong, 1st Floor, Gangseo-gu, Seoul","410 Yangcheon-ro, 1st Floor, Gayang-dong, Gangseo-gu, Seoul",20010713,Operating,157801,Foreign tourist souvenir shop,02-2661-7548,,,Open for business
