"키","명칭","행정 시","행정 구","행정 동","전화번호","홈페이지주소","HTML사용여부","X 좌표","Y 좌표"
"BE_IW10-1007","Medical Museum","Seoul","Jongno-gu","Ihwa-dong","02-2072-2635","http://medicalmuseum.org/","Y ","127.0004228000","37.5808572000"
"BE_IW10-1008","The Hahn Moo-Sook House","Seoul","Jongno-gu","Hyehwa-dong","02-732-3093","http://www.hahnmoosook.com","Y ","126.9986652000","37.5878149000"
"BE_IW10-1009","House of Jang Myeon","Seoul","Jongno-gu","Hyehwa-dong","070-8239-1063","http://www.changmyun.com","Y ","126.9994549000","37.5875519000"
"BE_IW10-1010","Gallery Mokkumto","Seoul","Jongno-gu","Ihwa-dong","02-764-0700","http://www.mokkumto.com","Y ","127.0035361000","37.5822908000"
"BE_IW10-1011","Wellside Gallery","Seoul","Jongno-gu","Ihwa-dong","02-3675-3737","http://www.isamtoh.com/gallery/about.asp","Y ","127.0023440000","37.5815262000"
"BE_IW10-1012","Arko Art Center","Seoul","Jongno-gu","Ihwa-dong","02-760-4850","http://www.arkoartcenter.or.kr","Y ","127.0032562000","37.5805023000"
"BE_IW10-1013","Gallery Jungmiso","Seoul","Jongno-gu","Ihwa-dong","02-743-5378","http://galleryjungmiso.byus.net/","Y ","127.0047277000","37.5782168000"
"BE_IW10-1014","Gallery Iang.com","Seoul","Jongno-gu","Hyehwa-dong","02-3672-0201","http://www..galleryiang.com","Y ","127.0020304000","37.5842657000"
"BE_IW10-1016","Yun Dong-ju Literary Museum","Seoul","Jongno-gu","Cheongunhyoja-dong","02-2148-4175","http://www.yundongju.or.kr","Y ","126.9670686000","37.5920969000"
"BE_IW10-1017","Park Nosu Art Museum","Seoul","Jongno-gu","Cheongunhyoja-dong","02-2148-4171","jfac.or.kr/","Y ","126.9668231000","37.5813277000"
"BE_IW10-1015","Gallery  Dongsoong","Seoul","Jongno-gu","Hyehwa-dong","02-1588-4965","http://www.dongsoong.kr","Y ","127.0008177000","37.5841313000"
"BE_IW10-0419","Changdeokgung Palace","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","http://www.cdg.go.kr","Y ","126.9913206000","37.5827758000"
"BE_IW10-0420","Honghwamun Gate","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0421","Observatory","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0422","Changgyeonggung Tongmyeongjeon","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0423","Changgyeonggung Myeongjeongmun Gate & Hanggak","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0070","Art Sonje Museum","Seoul","Jongno-gu","Samcheong-dong","02-733-8945","http://www.artsonje.org","Y ","126.9818500000","37.5794229000"
"BE_IW10-0500","Segeomjeong Pavilion Site","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9602738000","37.6008165000"
"BE_IW10-0776","The place of origin of Telecommunication Monument","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","",""
"BE_IW10-0777","Seoul Ten-story Stone Pagoda of Wongaksa Temple Site","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9842159000","37.5713590000"
"BE_IW10-0778","March First Independence Movement Monument","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9883480000","37.5712060000"
"BE_IW10-0779","The Statue of Shin Saimdang","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9655759000","37.5722970000"
"BE_IW10-0780","Admiral Yi Sun-sin","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767571000","37.5802853000"
"BE_IW10-0781","Five-Story Stone Pagoda in Hongedong","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0782","Three-story Stone Pagodas from Galhangsa Temple Site","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0783","Huimoli Folk Song","","","","","","Y ","",""
"BE_IW10-0784","Long Folk Song - Sipjanga","","","","","","Y ","",""
"BE_IW10-0785","Court Korean Tea Ceremony","","","","","","Y ","",""
"BE_IW10-0786","Gyeongbokgung Palace Taryeong","","","","","","Y ","",""
"BE_IW10-0787","Long Folk Song - Pungdeunga","","","","","","Y ","",""
"BE_IW10-0788","Chiljang(Lacquerware Making)","","","","","","Y ","",""
"BE_IW10-0789","Tuho(Arrow Throwing)","","","","","","Y ","",""
"BE_IW10-0790","Jonggyengdo","","","","","","Y ","",""
"BE_IW10-0791","The reason why Topgol park's tower was broken","","","","","","Y ","",""
"BE_IW10-0792","Topgol park's tower design and sculpture","","","","","","Y ","",""
"BE_IW10-0793","Gitdaebong Peak in Changsin-dong and Pray of Danjong's queen","","","","","","Y ","",""
"BE_IW10-0794","Hyoja-dong and Tiger from Muakjae","","","","","","Y ","",""
"BE_IW10-0795","Mrs.Ghul from Jasugung Palace in Ogin-dong","","","","","","Y ","",""
"BE_IW10-0796","Dongmyo Shrine and Ohhumyo Shrine in Sungin-dong","","","","","","Y ","",""
"BE_IW10-0797","The origin that Namdaemun Gate changes to Sungnyemun Gate","","","","","","Y ","",""
"BE_IW10-0798","The origin that Dongdaemun Gate changes to Heunginjimun Gate","","","","","","Y ","",""
"BE_IW10-0799","The origin that pick out a Hanyang castle site","","","","","","Y ","",""
"BE_IW10-0800","Mokgye in Changuimun Gate","","","","","","Y ","",""
"BE_IW10-0801","King Sukjong set a question","","","","","","Y ","",""
"BE_IW10-0802","Oh-seong's wisdom that counting the miliaris","","","","","","Y ","",""
"BE_IW10-0803","Lee Seonggye and Son Dolmaengi cold","","","","","","Y ","",""
"BE_IW10-0804","Lee Seonggye and Ming Taizu Zhu Yuanzhang","","","","","","Y ","",""
"BE_IW10-0805","A servant who became the Minister of War","","","","","","Y ","",""
"BE_IW10-0806","Gang Hong-rip,Kim Ung-so,Lee Yuk-gil and Malmudeom","","","","","","Y ","",""
"BE_IW10-0807","A royal secret inspector, Park Munsu clear false charge","","","","","","Y ","",""
"BE_IW10-0808","Hwang Minister give a present to dried radish greens","","","","","","Y ","",""
"BE_IW10-0809","Transfer of the capital Hanyang laying a foundation construction","","","","","","Y ","",""
"BE_IW10-0810","Guksadang Shrine of Mongmyeoksan","","","","","","Y ","",""
"BE_IW10-0811","Merrymaking at the Lantern Festival","","","","","","Y ","",""
"BE_IW10-0812","Geunjeongjeon Hall event that Happy occasion laying in","","","","","","Y ","",""
"BE_IW10-0813","Hanyang's dignity","","","","","","Y ","",""
"BE_IW10-0814","Transfer of the capital from Hanyang to Songdo","","","","","","Y ","",""
"BE_IW10-0815","Gyeongbokgung Palace reconstruction and Gyeongbokgung Taryeong","","","","","","Y ","",""
"BE_IW10-0816","A Tiger of In Wang Mountain","","","","","","Y ","",""
"BE_IW10-0817","Beautiful Supyogyo Bridge's magnificent sight","","","","","","Y ","",""
"BE_IW10-0818","Great location map of Hanyang","","","","","","Y ","",""
"BE_IW10-0819","Songseokwon's ascetic Cheon Sugyeong","","","","","","Y ","",""
"BE_IW10-0820","The Celebration of passing the higher civil service examination student","","","","","","Y ","",""
"BE_IW10-0821","gathered at Tapgol Park because of Circling the Pagoda","","","","","","Y ","",""
"BE_IW10-0822","Dongak Lee, Ahn-nul's a good match","","","","","","Y ","",""
"BE_IW10-0823","Bodogak White Buddha","","","","","","Y ","",""
"BE_IW10-0824","A historic Bell of Wongaksa Temple","","","","","","Y ","",""
"BE_IW10-0825","Gwanghwamun Gate that stands out magnificent beauty of proportion","","","","","","Y ","",""
"BE_IW10-0826","Yungmun.Yungmuru","","","","","","Y ","",""
"BE_IW10-0827","Huimoli Folk Song Pockmark Taryeong","","","","","","Y ","",""
"BE_IW10-0828","Queen Jeongsun's story about Cheongnyongsa Temple","","","","","","Y ","",""
"BE_IW10-0829","Jongmyo jerye","","","","","","Y ","",""
"BE_IW10-0830","Birthplace of King Sejon, Junsubang","","","","","","Y ","",""
"BE_IW10-0831","A legend about Nojeokbong Peak","","","","","","Y ","",""
"BE_IW10-0832","Jagyeongjeon Chamber of Subokgangryeong","","","","","","Y ","",""
"BE_IW10-0833","A garden of the town Cheonggyecheon","","","","","","Y ","",""
"BE_IW10-0834","Buddhist master Muhak and Seonbawi Rock","","","","","","Y ","",""
"BE_IW10-0835","Fantasy Suspension Bridge spanning Gyeonghuigung Palace","","","","","","Y ","",""
"BE_IW10-0836","Gyeonghoeru Pavilion","","","","","","Y ","",""
"BE_IW10-0837","Taoism's Samchung Taoist temple","","","","","","Y ","",""
"BE_IW10-0838","Holding gosa rites to the gods of heaven and earth","","","","","","Y ","",""
"BE_IW10-0839","Sejong's Small cottage","","","","","","Y ","",""
"BE_IW10-0840","Sejong's Bell tower","","","","","","Y ","",""
"BE_IW10-0841","The situation that dragon recite - Site of Gyeongbokgung Palace","","","","","","Y ","",""
"BE_IW10-0842","Cheonggye's Great location water","","","","","","Y ","",""
"BE_IW10-0843","Residential area of eunuchs, Eunuchs village","","","","","","Y ","",""
"BE_IW10-0844","Yeongje' alter Sukjeongmun","","","","","","Y ","",""
"BE_IW10-0845","Seosomun that pass the bier","","","","","","Y ","",""
"BE_IW10-0846","Flower of Sejong's Culture","","","","","","Y ","",""
"BE_IW10-0847","Jeongeopwon Gugi","","","","","","Y ","",""
"BE_IW10-0848","Mangichongjae's hall-Sajeongjeon","","","","","","Y ","",""
"BE_IW10-0849","Yeongsu?Unjanggok valley's scenic beauty","","","","","","Y ","",""
"BE_IW10-0850","Mt. Baegakssan (nicknamed Mt. Myeonakssan) looks like peony blossom","","","","","","Y ","",""
"BE_IW10-0851","Capital city that is connected to four mountains for 17km","","","","","","Y ","",""
"BE_IW10-0852","An Gyeongjong and A capital city's eight gates","","","","","","Y ","",""
"BE_IW10-0853","Yeongjo's rescue reincarnation","","","","","","Y ","",""
"BE_IW10-0854","Ongseong that gleam a shine, Dongdaemun Gate","","","","","","Y ","",""
"BE_IW10-0855","Chimneys in Amisan","","","","","","Y ","",""
"BE_IW10-0856","Chilhyugeosa Son Sunhyo's remote village","","","","","","Y ","",""
"BE_IW10-0857","Segeomjeong Pavilion celebrate peace","","","","","","Y ","",""
"BE_IW10-0858","Yeonsangun's self-conceit","","","","","","Y ","",""
"BE_IW10-0859","phoenix of Hyehwamun's gate tower","","","","","","Y ","",""
"BE_IW10-0860","Moving the an Ancestral Tablet Festival","","","","","","Y ","",""
"BE_IW10-0861","Gwanghuimun Gate, Japan envoy entered","","","","","","Y ","",""
"BE_IW10-0862","Taeshejitan Religious ceremonies","","","","","","Y ","",""
"BE_IW10-0863","Choenggyecheon Kite Flying","","","","","","Y ","",""
"BE_IW10-0864","Tightly Shut by Eumgiseol, Sukjeongmun Gate","","","","","","Y ","",""
"BE_IW10-0865","At the foot of the Samgaksan Mountain, Queen was born","","","","","","Y ","",""
"BE_IW10-0866","Hwang Hui make sanction prohibition law","","","","","","Y ","",""
"BE_IW10-0867","The king's brother during Dead and The Buddha's brother during Alive","","","","","","Y ","",""
"BE_IW10-0868","The Haunted House in Hoehyeon-dong and The Progenitor of Dongnae Chung Family who is Successful when come to Seoul","","","","","","Y ","",""
"BE_IW10-0869","Gahoe-dong Haunted house Story","","","","","","Y ","",""
"BE_IW10-0914","Myeongnyun-dong","","","","","","Y ","",""
"BE_IW10-0870","Seoul dialect, Bukchon Yangban, Korean paper and Namyeong-dong","","","","","","Y ","",""
"BE_IW10-0871","Lee Seonggye's ascension to the throne and Transfer of the capital Hanyang story","","","","","","Y ","",""
"BE_IW10-0872","The boy that play well on the flute so that married a princess","","","","","","Y ","",""
"BE_IW10-0873","Reason for Changing the Jahamun Gate to the Changuimun Gate","","","","","","Y ","",""
"BE_IW10-0874","Gyeongbokgung Palace That building after built a castle","","","","","","Y ","",""
"BE_IW10-0875","Women in Seoul had an affair when you open Namsomun Gate","","","","","","Y ","",""
"BE_IW10-0876","Gyeongbokgung Palace site and Eatting boiled barley","","","","","","Y ","",""
"BE_IW10-0501","Bosingak Pavilion Site","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9835841000","37.5698422000"
"BE_IW10-0502","Hwanghakjeong Pavilion","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9685375000","37.5764899000"
"BE_IW10-0503","Site of Prince Anpyeong Yi Yong's House","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9628406000","37.5916177000"
"BE_IW10-0504","Chimnyugak Pavilion","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0505","Seokpajeong Pavilion","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9738314000","37.5961355000"
"BE_IW10-0506","Tapgol Park Octagonal Pavilion","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9883480000","37.5712060000"
"BE_IW10-0507","Weapon Factory of Gigiguk (Arsenal Bureau)","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9827091000","37.5861164000"
"BE_IW10-0508","Seoul Modern Post Office","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9826182000","37.5744559000"
"BE_IW10-0509","Gyeonggeundang and Okcheopdang Halls in the Office of the Royal Genealogy","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9831241000","37.5807844000"
"BE_IW10-0510","Well in the Site of the Office of the Royal Genealogy","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9805749000","37.5795174000"
"BE_IW10-0511","Site of Jeongupwon Temple","Seoul","Jongno-gu","Sungin1-dong","","","Y ","127.0162555000","37.5796166000"
"BE_IW10-0512","Kyeongmogungji Shrine of the Crown Prince Sado, Seoul","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0006005000","37.5805685000"
"BE_IW10-0513","Site of Uam Song Siyeol's House","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","126.9969440000","37.5907127000"
"BE_IW10-0514","Poet Yun Dongju's Boarding House","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9656793000","37.5814513000"
"BE_IW10-0515","Poet of 'Flame' and 'Dagger' of Our Epoch, Kim Su-yeong's House  ","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9847482000","37.5688039000"
"BE_IW10-0516","House of Ju Yohan in Sajik-dong","Seoul","Jongno-gu","Sajik-dong","","","Y ","",""
"BE_IW10-0517","House of Park Inhwan(1926-1956)","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9888131000","37.5797298000"
"BE_IW10-0518","House of Jeong Jiyong of <Home>","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9852823000","37.5790115000"
"BE_IW10-0519","House of Kim Seong-su(1891-1955)","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9872551000","37.5809038000"
"BE_IW10-0520","House of Kim Yujeong of <Camellia>","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9675984000","37.5747602000"
"BE_IW10-0521","House of Lee Gwangsu(1892-1950)","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9560406000","37.6002694000"
"BE_IW10-0522","Poet of Modernism Kim Girim","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0021671000","37.5754324000"
"BE_IW10-0523","House of Go Huidong(1886-1965)","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9889583000","37.5831391000"
"BE_IW10-0524","House of Ma Haesong(1905-1966)","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","126.9976368000","37.5831960000"
"BE_IW10-0525","House of Park Jonghwa(1901-1981)","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9673329000","37.6122517000"
"BE_IW10-0526","Birthplace of Gansong Jeon Hyeongpil","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9902999000","37.5700770000"
"BE_IW10-0527","House of Han Yongun(1879-1944)","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9870346000","37.5815152000"
"BE_IW10-0528","Hanging Painting of Cheongryangsan Mountain","Seoul","Jongno-gu","Changsin1-dong","","","Y ","127.0137690000","37.5755637000"
"BE_IW10-0529","Uigyeomdeungpilsuwolgwaneumdo","Seoul","Jongno-gu","Changsin1-dong","","","Y ","127.0137690000","37.5755637000"
"BE_IW10-0530","Religious Text of the Zen Buddhism edited by Kim Su-on","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9688348000","37.5707649000"
"BE_IW10-0531","Statue of the Buddha of Jogyesa Temple","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9823368000","37.5739012000"
"BE_IW10-0532","Flagpole supports of Janguisa Temple Site, Seoul","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9611862000","37.6026161000"
"BE_IW10-0533","The Central Temple of Cheondogyo","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9862771000","37.5753081000"
"BE_IW10-0534","Guksadang Shrine of Inwangsan Mountain","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9595820000","37.5787901000"
"BE_IW10-0535","Shrine of Bohyeonsan in Pyeongchang-dong","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9660988000","37.6143202000"
"BE_IW10-0536","Cheongnyongsa Temple","Seoul","Jongno-gu","Sungin1-dong","","","Y ","127.0167666000","37.5799125000"
"BE_IW10-0537","Inwangsa Temple","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9562643000","37.5758501000"
"BE_IW10-0538","Myogaksa Temple","Seoul","Jongno-gu","Sungin1-dong","","","Y ","127.0187664000","37.5755039000"
"BE_IW10-0539","Jogyesa Temple","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9823368000","37.5739012000"
"BE_IW10-0540","Anyangam Temple","Seoul","Jongno-gu","Changsin1-dong","","","Y ","127.0133571000","37.5754539000"
"BE_IW10-0541","Ilseonsa Temple","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9741928000","37.6227107000"
"BE_IW10-0542","Seunggasa Temple","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9740093000","37.6314807000"
"BE_IW10-0543","Sorimsa Temple","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9588964000","37.6014902000"
"BE_IW10-0544","Munsusa Temple","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9725258000","37.6312731000"
"BE_IW10-0545","Daegaksa Temple","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9920769000","37.5736651000"
"BE_IW10-0546","Gamroam Temple","Seoul","Jongno-gu","Jongno5.6ga-dong","","","Y ","127.0066373000","37.5753306000"
"BE_IW10-0547","Daeungjeon Hall of Jogyesa Temple","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9823368000","37.5739012000"
"BE_IW10-0548","Seated Rock-carved Buddha in Gugi-dong Bukhansan Mountain, Seoul","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9594761000","37.6269949000"
"BE_IW10-0549","Vajracchedika prajnaparamita Sutra (The Diamond Sutra)","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9796420000","37.5730330000"
"BE_IW10-0550","Rock-carved Avalokitesvara Bodhisattva of Anyangam Temple","Seoul","Jongno-gu","Changsin1-dong","","","Y ","127.0137690000","37.5755637000"
"BE_IW10-0551","Seated Stone Buddha","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0552","Seated Stone Buddhist Monk Seunggadaesa of Seunggasa Temple, Seoul","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9594761000","37.6269949000"
"BE_IW10-0553","Samsipbungongdeoksogyeong","Seoul","Jongno-gu","Changsin1-dong","","","Y ","127.0137690000","37.5755637000"
"BE_IW10-0554","Hanging Scroll of Jogyesa Temple's Daeungjeon Hall _ Painting of Sakyamuni Buddha of Jogyesa Temle","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9823368000","37.5739012000"
"BE_IW10-0555","Celestial Planisphere Map Carved on a Stone Slab","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767338000","37.5764273000"
"BE_IW10-0556","Prohibition of Admittance","Seoul","Jongno-gu","Sungin2-dong","","","Y ","127.0183336000","37.5729800000"
